time_stamp,open,close,adjust,comment
2006-11-01,167.55600,172.87500,0.0000,''
2006-12-01,172.87500,180.63660,0.0000,''
2007-01-01,180.63660,186.92690,0.0000,''
2007-02-01,186.92690,193.87780,0.0000,'Added insulation on cellar pipes'
2007-03-01,193.87780,200.55620,0.0000,''
2007-04-01,200.55620,209.77990,0.0000,''
2007-05-01,209.77990,219.98790,0.0000,''
2007-06-01,219.98790,230.77107,0.0000,'Two weeks in Spain.'
2007-07-01,230.77107,235.73850,0.0000,''
2007-08-01,235.73850,246.56760,0.0000,''
2007-09-01,246.56760,254.03870,0.0000,''
2007-10-01,254.03870,261.00000,0.0000,''
2007-11-01,261.00000,267.15280,0.0000,''
2007-12-01,267.15280,273.54070,0.0000,''
2008-01-01,273.54070,279.94680,0.0000,'Reset the timer on the header'
2008-02-01,279.94680,287.81100,0.0000,'18.03 New house door installed'
2008-03-01,287.81100,293.11220,0.0000,''
2008-04-01,293.11220,301.44240,0.0000,''
2008-05-01,301.44240,310.34340,0.0000,'Heater was turned off.'
2008-06-01,310.34340,317.34130,0.0000,'Hot water and pump timer was changed to 5.30-10.30am  only.'
2008-07-01,317.34130,325.02030,0.0000,''
2008-08-01,325.02030,334.87790,0.0000,''
2008-09-01,334.87790,341.90400,0.0000,'Added Honeywell thermostats to Lounge and bathroom.'
2008-10-01,341.90400,348.24580,0.0000,'Australia for 13 days'
2008-11-01,348.24580,352.22110,0.0000,'Australia for 6 days | Visitors'
2008-12-01,352.22110,359.83230,0.0000,'Visitors over Christmas - Party mode was used'
2009-01-01,359.83230,364.00000,0.0000,'Steve one week in USA'
2009-02-01,364.00000,370.17880,0.0000,'Steve one week in USA; Visitor two weeks.'
2009-03-01,370.17880,376.17970,0.0000,'One week skiing'
2009-04-01,376.17970,383.03970,0.0000,'Heating off since 1st. Party Mode used twice plus two evenings with heater'
2009-05-01,383.03970,388.53940,0.0000,'Away first week and again one weekend. Jane and Eileen visit.'
2009-06-01,388.53940,395.72850,0.0000,''
2009-07-01,395.72850,401.63240,0.0000,''
2009-08-01,401.63240,409.97590,0.0000,'Set spare monitor on a switch.'
2009-09-01,409.97590,417.46110,0.0000,''
2009-10-01,417.46110,421.98080,0.0000,''
2009-11-01,421.98080,428.06250,0.0000,''
2009-12-01,428.06250,435.01120,0.0000,'House Guest'
2010-01-01,435.01120,441.73000,0.0000,''
2010-02-01,441.73000,448.54350,0.0000,''
2010-03-01,448.54350,456.42520,0.0000,'One day late in reading'
2010-04-01,456.42520,467.02000,0.0000,'House Guest'
2010-05-01,467.02000,474.41000,0.0000,'Heater was turned off.'
2010-06-01,474.41000,479.58690,0.0000,'Filled heater pressure to 0.9 Bar'
2010-07-01,479.58690,0.85105,486.0000,'ESTW changed water meter. Old=486 New=0.1075. Reading 0.85105'
2010-08-01,0.85105,7.58980,0.0000,''
2010-09-01,7.58980,15.98110,0.0000,'Heating turned on'
2010-10-01,15.98110,20.67620,0.0000,'Electric heater purchased. 8d2h-9.287kWh-9.287OnTime'
2010-11-01,20.67620,26.33570,0.0000,'Office Heater 18.15kWh@18:08/28d19h.'
2010-12-01,26.33570,28.19470,0.0000,'Holiday in Australia from 07.12.10 to 05.01.11'
2011-01-01,28.19470,33.80720,0.0000,'Office Heater 12.8kWh@11:04/7d18h'
2011-02-01,33.80720,40.20020,0.0000,'Office Heater 38.88kWh@1d7h/27d23h'
2011-03-01,40.20020,47.10800,0.0000,'Office Heater 4.711Wh@3:37h/30d22h'
2011-04-01,47.10800,53.97200,0.0000,'away first week and again one weekend. Jane and Eileen visit.'
2011-05-01,53.97200,61.90170,0.0000,''
2011-06-01,61.90170,70.00000,0.0000,''
2011-07-01,70.00000,75.77000,0.0000,'Running the de-humidifier for most of the month. - Water in Cellar'
2011-08-01,75.77000,88.34060,0.0000,'John and family visited. Making Jam'
2011-09-01,88.34060,91.13620,0.0000,'Two weeks in Burgundy'
2011-10-01,91.13620,95.68860,0.0000,'Heating turned on; Circulation pump added to Hot Water.'
2011-11-01,95.68860,104.68520,0.0000,'Lighting system 1.066 - 29:22d:h'
2011-12-01,104.68520,114.53500,0.0000,'Visitors over Christmas - Party mode was used'
2012-01-01,114.53500,120.65100,0.0000,''
2012-02-01,120.65100,126.44450,0.0000,'Lighting system 1.060 -28:22d:h'
2012-03-01,126.44450,131.00810,0.0000,'New regulator for the heater'
2012-04-01,131.00810,138.98470,0.0000,''
2012-05-01,138.98470,140.24380,0.0000,'Return from 4 weeks in Aus'
